order_id,customer_id,product,category,quantity,price,discount,order_date,region,delivered
50001,1318,Coche Teledirigido,Juguetes,2,59.33,0.0,2024-12-13,Este,Yes
50002,1179,Smartphone X,Electrónica,2,660.75,0.0,2024-03-15,Este,Yes
50003,1396,Sartén Antiadherente,Hogar,1,30.07,0.0,2024-03-20,Norte,Yes
50004,1026,Coche Teledirigido,Juguetes,6,62.18,0.05,2024-12-29,Este,Yes
50005,1069,Zapatillas Running,Ropa,3,97.96,0.15,2024-12-06,,Yes
50006,1388,Sartén Antiadherente,Hogar,5,33.02,0.0,2025-08-24,Este,Yes
50007,1116,Zapatillas Running,Ropa,1,96.87,0.3,2024-12-04,Norte,Yes
50008,1125,Coche Teledirigido,Juguetes,3,59.19,0.1,2025-08-20,Sur,Yes
50009,1317,Smartphone X,Electrónica,4,733.08,0.4,2025-05-18,Sur,No
50010,1076,Coche Teledirigido,Juguetes,1,62.86,0.15,2024-09-02,Norte,Yes
50011,1206,Juego Bloques 500pzs,Juguetes,1,47.87,0.3,2025-07-22,Norte,Yes
50012,1115,Juego Bloques 500pzs,Juguetes,1,44.68,0.05,2024-11-21,Sur,Yes
50013,1080,Chaqueta Invierno,Ropa,1,86.67,0.0,2025-01-21,Este,Yes
50014,1386,Sartén Antiadherente,Hogar,2,32.51,0.0,2024-04-25,Norte,Yes
50015,1080,Chaqueta Invierno,Ropa,1,82.5,0.1,2024-06-25,Oeste,Yes
50016,1038,Camiseta Básica,Ropa,1,12.24,0.0,2024-12-12,Este,Yes
50017,1270,Coche Teledirigido,Juguetes,3,60.02,0.1,2024-07-27,Oeste,Yes
50018,1347,Sartén Antiadherente,Hogar,1,30.35,0.0,2025-01-24,Sur,Yes
50019,1051,Cafetera Espresso,Hogar,1,261.22,0.15,2024-04-13,Sur,Yes
50020,1284,Auriculares Pro,Electrónica,3,154.69,0.0,2024-07-16,Este,Yes
50021,1217,Juego Bloques 500pzs,Juguetes,1,43.82,0.3,2025-03-01,Oeste,Yes
50022,1333,Aspiradora Ciclónica,Hogar,1,159.79,0.0,2025-01-31,Sur,Yes
50023,1051,Muñeca Interactiva,Juguetes,1,37.78,0.0,2025-08-23,Este,Yes
50024,1391,Auriculares Pro,Electrónica,1,124.59,0.15,2025-07-07,Este,Yes
50025,1248,Sartén Antiadherente,Hogar,2,35.46,,2025-05-20,Este,Yes
50026,1337,Sartén Antiadherente,Hogar,1,30.49,0.1,2024-03-01,Norte,Yes
50027,1145,Sartén Antiadherente,Hogar,1,30.94,0.4,2025-01-25,Sur,Yes
50028,1378,Smartphone X,Electrónica,8,621.32,0.0,2024-07-04,Sur,Yes
50029,1251,Zapatillas Running,Ropa,6,89.96,0.15,2024-07-25,Oeste,Yes
50030,1051,Camiseta Básica,Ropa,1,10.56,0.0,2024-06-24,Sur,Yes
50031,1370,Aspiradora Ciclónica,Hogar,1,166.03,0.05,2024-11-06,Sur,Yes
50032,1319,Portátil Air,Electrónica,2,1433.98,0.0,2024-05-08,Oeste,Yes
50033,1121,Zapatillas Running,Ropa,4,92.56,0.0,2024-12-17,Sur,Yes
50034,1219,Aspiradora Ciclónica,Hogar,4,140.45,0.05,2024-05-31,Norte,Yes
50035,1156,Smartphone X,Electrónica,1,743.04,0.1,2024-11-30,Norte,Yes
50036,1218,Juego Bloques 500pzs,Juguetes,1,42.71,0.0,2025-02-07,Norte,Yes
50037,1387,Cafetera Espresso,Hogar,2,271.65,0.3,2024-06-07,Norte,No
50038,1360,Smartphone X,Electrónica,5,685.2,0.05,2024-04-26,Sur,Yes
50039,1087,Smartphone X,Electrónica,5,668.09,0.0,2025-05-17,Oeste,Yes
50040,1389,Coche Teledirigido,Juguetes,1,58.27,0.1,2025-04-10,Este,Yes
50041,1176,Camiseta Básica,Ropa,2,12.64,0.0,2024-07-22,Norte,Yes
50042,1282,Coche Teledirigido,Juguetes,1,58.06,0.0,2025-06-30,Este,Yes
50043,1306,Zapatillas Running,Ropa,3,91.7,0.1,2024-06-30,Norte,Yes
50044,1194,Chaqueta Invierno,Ropa,6,77.9,0.0,2025-07-22,Oeste,Yes
50045,1183,Camiseta Básica,Ropa,2,10.93,0.0,2024-05-02,Norte,Yes
50046,1183,Aspiradora Ciclónica,Hogar,1,163.42,0.1,2025-02-26,Este,Yes
50047,1346,Auriculares Pro,Electrónica,2,112.87,0.0,2024-03-11,Sur,Yes
50048,1155,Chaqueta Invierno,Ropa,2,76.54,0.15,2024-06-17,Este,Yes
50049,1112,Chaqueta Invierno,Ropa,4,83.2,0.15,2024-10-09,Sur,Yes
50050,1145,Auriculares Pro,Electrónica,1,131.74,0.0,2024-04-16,Este,Yes
50051,1078,Chaqueta Invierno,Ropa,5,82.26,,2024-11-06,Norte,Yes
50052,1157,Sartén Antiadherente,Hogar,1,31.85,,2024-07-06,Oeste,Yes
50053,1046,Cafetera Espresso,Hogar,1,269.39,0.1,2024-04-24,Sur,Yes
50054,1036,Auriculares Pro,Electrónica,1,137.35,0.0,2025-08-11,Este,Yes
50055,1290,Coche Teledirigido,Juguetes,1,60.84,0.3,2025-08-22,Oeste,Yes
50056,1031,Coche Teledirigido,Juguetes,1,62.83,,2025-08-11,Oeste,Yes
50057,1228,Cafetera Espresso,Hogar,3,262.08,,2024-05-24,Norte,Yes
50058,1312,Muñeca Interactiva,Juguetes,1,37.8,0.0,2024-09-26,Sur,Yes
50059,1290,Zapatillas Running,Ropa,1,86.06,0.0,2024-08-27,Norte,Yes
50060,1179,Juego Bloques 500pzs,Juguetes,1,46.32,0.05,2024-08-26,Norte,Yes
50061,1078,Cafetera Espresso,Hogar,1,258.52,0.05,2024-10-15,Este,Yes
50062,1373,Sartén Antiadherente,Hogar,5,34.44,0.5,2024-12-05,Oeste,No
50063,1335,Portátil Air,Electrónica,6,1120.41,0.0,2024-11-22,Oeste,Yes
50064,1245,Sartén Antiadherente,Hogar,1,29.97,0.0,2024-08-08,Este,Yes
50065,1035,Coche Teledirigido,Juguetes,4,60.9,0.0,2025-08-20,Este,Yes
50066,1015,Muñeca Interactiva,Juguetes,3,38.81,0.0,2025-08-20,Oeste,Yes
50067,1127,Zapatillas Running,Ropa,8,82.46,0.2,2024-08-29,Oeste,Yes
50068,1064,Portátil Air,Electrónica,1,1230.48,0.3,2024-06-30,Norte,Yes
50069,1345,Cafetera Espresso,Hogar,1,216.71,0.2,2024-12-18,Este,Yes
